"","chromosome_name","start_position","end_position","hgnc_symbol"
"93","CHR_HSCHR6_MHC_SSTO_CTG1",32188640,32191996,"AGER"
"94","CHR_HSCHR6_MHC_QBL_CTG1",32138576,32141932,"AGER"
"95","CHR_HSCHR6_MHC_COX_CTG1",32129439,32132795,"AGER"
"96","6",32180968,32184322,"AGER"
"97","7",15200317,15562015,"AGMO"
"98","2",177392746,177567024,"AGPS"
"99","2",240868824,240880502,"AGXT"
"100","5",34998101,35048135,"AGXT2"
"101","6",135283407,135498434,"AHI1"
"102","5",321714,438291,"AHRR"
"103","12",8602155,8613242,"AICDA"
"104","CHR_HSCHR6_MHC_SSTO_CTG1",31605935,31607772,"AIF1"
"105","CHR_HSCHR6_MHC_QBL_CTG1",31605413,31607250,"AIF1"
"106","CHR_HSCHR6_MHC_DBB_CTG1",31597358,31599195,"AIF1"
"107","CHR_HSCHR6_MHC_MCF_CTG1",31691477,31693314,"AIF1"
"108","CHR_HSCHR6_MHC_COX_CTG1",31602592,31604429,"AIF1"
"109","6",31615217,31617021,"AIF1"
"110","10",4871901,4891975,"AKR1C6P"
"111","1",19303965,19312144,"AKR7A2"
"112","CHR_HG2104_PATCH",112923423,112924337,"AKR7A2P1"
"113","1",112923423,112924337,"AKR7A2P1"
"114","9",38392702,38398661,"ALDH1B1"
"115","17",19737984,19748943,"ALDH3A1"
"116","17",19648136,19685760,"ALDH3A2"
"117","6",24494867,24537207,"ALDH5A1"
"118","16",5033702,5087379,"ALG1"
"119","9",99216425,99221942,"ALG2"
"120","3",184242301,184249548,"ALG3"
"121","13",36949738,37000763,"ALG5"
"122","1",63367575,63438553,"ALG6"
"123","11",78095244,78139660,"ALG8"
"124","11",111782195,111871581,"ALG9"
"125","12",109088188,109093631,"ALKBH2"
"126","11",43880811,43920274,"ALKBH3"
"127","11",107502727,107565742,"ALKBH8"
"128","2",73385758,73625166,"ALMS1"
"129","17",8072636,8087716,"ALOX12B"
"130","17",8095900,8119047,"ALOXE3"
"131","2",232456125,232460753,"ALPI"
"132","1",21509397,21578410,"ALPL"
"133","2",232378724,232382889,"ALPP"
"134","3",46668995,46693704,"ALS2CL"
"135","19",2249309,2252073,"AMH"
"136","X",110194186,110440318,"AMMECR1"
"137","14",102922663,102933596,"AMN"
"138","7",38383704,38631420,"AMPH"
"139","3",49416778,49422685,"AMT"
"140","2",86871301,86912978,"ANAPC1P1"
"141","9",137174784,137188560,"ANAPC2"
"142","4",25377263,25418498,"ANAPC4"
"143","12",121308245,121399896,"ANAPC5"
"144","12",110372900,110403730,"ANAPC7"
"145","5",75611182,75681773,"ANKDD1B"
"146","17",55882301,56517016,"ANKFN1"
"147","17",4163821,4263995,"ANKFY1"
"148","2",240479422,240569209,"ANKMY1"
"149","9",92809665,92826578,"ANKRD19P"
"150","9",67832765,67920552,"ANKRD20A1"
"151","2",94791103,94857282,"ANKRD20A8P"
"152","4",124664048,124712732,"ANKRD50"
"153","12",56237807,56258384,"ANKRD52"
"154","22",37830855,37849327,"ANKRD54"
"155","5",56099680,56233330,"ANKRD55"
"156","6",34889255,35091406,"ANKS1A"
"157","12",98726457,99984936,"ANKS1B"
"158","CHR_HG926_PATCH",21233699,21253850,"ANKS4B"
"159","16",21233699,21253850,"ANKS4B"
"160","3",149761100,149968385,"ANKUB1"
"161","3",43354859,43691594,"ANO10"
"162","15",68778535,68820897,"ANP32A"
"163","9",97983341,98015943,"ANP32B"
"164","4",164197007,164197711,"ANP32C"
"165","12",48472559,48473622,"ANP32D"
"166","1",150218417,150236156,"ANP32E"
"167","2",69013176,69249327,"ANTXR1"
"168","4",79901146,80125454,"ANTXR2"
"169","10",46286345,46330207,"ANTXRL"
"170","7",36512941,36724549,"AOAH"
"171","7",36597834,36600120,"AOAH-IT1"
"172","7",101154456,101161596,"AP1S1"
"173","17",35578046,35726413,"AP2B1"
"174","11",65773898,65780976,"AP5B1"
"175","7",4775615,4794397,"AP5Z1"
"176","10",26438341,26567803,"APBB1IP"
"177","19",44942238,44949565,"APOC4-APOC2"
"178","2",240691866,240698483,"AQP12A"
"179","2",240676418,240682906,"AQP12B"
"180","11",118572390,118603033,"ARCN1"
"181","20",63698642,63708025,"ARFRP1"
"182","17",32150433,32151504,"ARGFXP2"
"183","5",142859604,142868922,"ARHGAP26-AS1"
"184","20",38601809,38651035,"ARHGAP40"
"185","17",12789498,12991643,"ARHGAP44"
"186","1",17539698,17697874,"ARHGEF10L"
"187","3",56940040,56960854,"ARHGEF3-AS1"
"188","5",149551947,149634968,"ARHGEF37"
"189","4",105561591,105570238,"ARHGEF38-IT1"
"190","12",101393116,101407772,"ARL1"
"191","X",100969708,100990831,"ARL13A"
"192","3",93980139,94055678,"ARL13B"
"193","11",65014160,65022184,"ARL2"
"194","10",102673731,102714397,"ARL3"
"195","3",97764521,97801229,"ARL6"
"196","4",56505209,56524959,"ARL9"
"197","X",102599512,102714671,"ARMCX5-GPRASP2"
"198","11",3645128,3664416,"ART1"
"199","4",76011184,76114048,"ART3"
"200","12",14825569,14843526,"ART4"
"201","11",3638512,3642316,"ART5"
"202","1",43933320,43937240,"ARTN"
"203","10",50739318,50816495,"ASAH2B"
"204","8",130082738,130084768,"ASAP1-IT2"
"205","2",69960089,69961631,"ASPRV1"
"206","2",96122818,96138502,"ASTL"
"207","1",176857302,177164973,"ASTN1"
"208","9",116423112,117415070,"ASTN2"
"209","20",32358330,32439319,"ASXL1"
"210","2",25733753,25878487,"ASXL2"
"211","18",33578219,33751195,"ASXL3"
"212","17",30831966,30895869,"ATAD5"
"213","10",121928056,121952139,"ATE1-AS1"
"214","CHR_HSCHR6_MHC_MCF_CTG1",32191691,32204680,"ATF6B"
"215","CHR_HSCHR6_MHC_COX_CTG1",32063716,32076703,"ATF6B"
"216","CHR_HSCHR6_MHC_DBB_CTG1",32091037,32104024,"ATF6B"
"217","6",32115264,32128253,"ATF6B"
"218","15",25677273,25865184,"ATP10A"
"219","5",160563120,160852214,"ATP10B"
"220","4",47485275,47593486,"ATP10D"
"221","1",160115759,160143591,"ATP1A2"
"222","19",41966582,41997497,"ATP1A3"
"223","X",77910690,78050395,"ATP7A"
"224","10",115093365,115948999,"ATRNL1"
"225","X",13318647,13320053,"ATXN3L"
"226","13",70107213,70171738,"ATXN8OS"
"227","9",91213815,91361918,"AUH"
"228","2",74526645,74529760,"AUP1"
"229","12",57797376,57818734,"AVIL"
"230","8",102826111,102893864,"AZIN1"
"231","11",134378504,134412242,"B3GAT1"
"232","6",70856679,70957060,"B3GAT2"
"233","11",62615296,62622154,"B3GAT3"
"234","12",57623409,57633239,"B4GALNT1"
"235","17",49132460,49176840,"B4GALNT2"
"236","12",459939,563509,"B4GALNT3"
"237","11",369499,382117,"B4GALNT4"
"238","19",41354417,41364165,"B9D2"
"239","11",117288453,117293578,"BACE1-AS"
"240","17",81395457,81466331,"BAHCC1"
"241","3",52401008,52410008,"BAP1"
"242","5",17065598,17276843,"BASP1"
"243","13",22897341,22898005,"BASP1P1"
"244","11",27040725,27127809,"BBOX1"
"245","12",49827913,49841143,"BCDIN3D-AS1"
"246","1",85265776,85276632,"BCL10"
"247","18",63123346,63320128,"BCL2"
"248","15",79960892,79971196,"BCL2A1"
"249","15",52109263,52112775,"BCL2L10"
"250","2",111119378,111168445,"BCL2L11"
"251","19",49665142,49673916,"BCL2L12"
"252","22",17628855,17730855,"BCL2L13"
"253","CHR_HG1362_PATCH",12049844,12211084,"BCL2L14"
"254","12",12049844,12211084,"BCL2L14"
"255","1",113876816,113887581,"BCL2L15"
"256","19",44747705,44760044,"BCL3"
"257","3",187721377,187745725,"BCL6"
"258","1",147541501,147626216,"BCL9"
"259","6",136256627,136289851,"BCLAF1"
"260","11",112175510,112224699,"BCO2"
"261","X",40049815,40177329,"BCOR"
"262","X",129981107,130058071,"BCORL1"
"263","16",66427295,66493529,"BEAN1"
"264","14",100537147,100587417,"BEGAIN"
"265","10",79682997,79685436,"BEND3P3"
"266","X",103062651,103064171,"BEX1"
"267","X",103309346,103311007,"BEX2"
"268","X",103215108,103217246,"BEX4"
"269","X",102153708,102155977,"BEX5"
"270","7",98211439,98215457,"BHLHA15"
"271","3",4896806,4980414,"BHLHE40-AS1"
"272","5",79111809,79132288,"BHMT"
"273","13",102799110,102875994,"BIVM-ERCC5"
"274","12",55716038,55720087,"BLOC1S1"
"275","10",100273280,100286680,"BLOC1S2"
"276","19",45178784,45216933,"BLOC1S3"
"277","4",6716174,6717664,"BLOC1S4"
"278","20",57168753,57266641,"BMP7"
"279","7",33904308,34156427,"BMPER"
"280","10",42782795,42834937,"BMS1"
"281","3",113211003,113287459,"BOC"
"282","2",241551424,241574131,"BOK"
"283","1",220057482,220090462,"BPNT1"
"284","Y",24607560,24639207,"BPY2B"
"285","Y",25030901,25062548,"BPY2C"
"286","17",61679139,61863559,"BRIP1"
"287","1",222712553,222735196,"BROX"
"288","19",47968046,47992170,"BSPH1"
"289","12",92140278,92145846,"BTG1"
"290","1",203305491,203309602,"BTG2"
"291","CHR_HSCHR21_6_CTG1_1",17604145,17612947,"BTG3"
"292","21",17593653,17612945,"BTG3"
"293","11",111467526,111514367,"BTG4"
"294","2",110637528,110678063,"BUB1"
"295","10",123154402,123170467,"BUB3"
"296","10",71711701,71737824,"C10orf105"
"297","10",49679651,49710261,"C10orf53"
"298","10",73909969,73922777,"C10orf55"
"299","10",49296112,49299018,"C10orf71-AS1"
"300","10",116663696,116670264,"C10orf82"
"301","10",122930901,122954311,"C10orf88"
"302","11",66744451,66843516,"C11orf80"
"303","11",66975277,66977009,"C11orf86"
"304","11",109422190,109429167,"C11orf87"
"305","12",14803666,14906586,"C12orf60"
"306","14",23095505,23100456,"C14orf119"
"307","14",44897275,44907257,"C14orf28"
"308","16",29742463,29745990,"C16orf54"
"309","16",27066927,27069166,"C16orf82"
"310","16",67666814,67668757,"C16orf86"
"311","16",46796603,46831180,"C16orf87"
"312","16",5044122,5066110,"C16orf89"
"313","17",35760887,35765079,"C17orf50"
"314","17",67991099,67996469,"C17orf58"
"315","19",38304164,38305006,"C19orf33"
"316","19",10836575,10869790,"C19orf38"
"317","1",67092165,67231853,"C1orf141"
"318","1",3889125,3900293,"C1orf174"
"319","1",42767245,42779491,"C1orf50"
"320","1",85249953,85259672,"C1orf52"
"321","1",197902630,197907367,"C1orf53"
"322","1",150268200,150280916,"C1orf54"
"323","1",151047751,151051986,"C1orf56"
"324","1",59987269,60073770,"C1orf87"
"325","17",5432777,5448830,"C1QBP"
"326","2",119156243,119158751,"C1QL2"
"327","CHR_HG1398_PATCH",7107283,7121732,"C1RL-AS1"
"328","12",7108052,7122524,"C1RL-AS1"
"329","20",35523186,35529652,"C20orf173"
"330","20",3753508,3767781,"C20orf27"
"331","CHR_HSCHR22_1_CTG7",23764087,23765861,"C22orf15"
"332","22",23762990,23765863,"C22orf15"
"333","2",131647990,131767404,"C2orf27A"
"334","2",208165343,208190030,"C2orf80"
"335","2",74414176,74421619,"C2orf81"
"336","2",227632969,227648606,"C2orf83"
"337","2",189879609,190203484,"C2orf88"
"338","CHR_HSCHR3_6_CTG2_1",112086335,112131004,"C3orf52"
"339","3",112086335,112131004,"C3orf52"
"340","3",127193131,127198185,"C3orf56"
"341","3",160225422,160228213,"C3orf80"
"342","3",49177634,49191858,"C3orf84"
"343","CHR_HSCHR6_MHC_MCF_CTG1",32058468,32058494,"C4B"
"344","CHR_HSCHR6_MHC_SSTO_CTG1",32007416,32028073,"C4B"
"345","CHR_HSCHR6_MHC_DBB_CTG1",31996944,32011233,"C4B"
"346","CHR_HSCHR6_MHC_COX_CTG1",31969570,31983859,"C4B"
"347","6",32014795,32035418,"C4B"
"348","4",99511012,99542303,"C4orf17"
"349","4",37453925,37623495,"C4orf19"
"350","4",119296419,119304445,"C4orf3"
"351","5",147880726,147906538,"C5orf46"
"352","5",173973779,174006140,"C5orf47"
"353","5",7830378,7851151,"C5orf49"
"354","6",36871870,36928964,"C6orf89"
"355","7",42909273,42912305,"C7orf25"
"356","1",56854768,56918223,"C8A"
"357","1",56929207,56974383,"C8B"
"358","9",136945185,136946975,"C8G"
"359","8",66667615,66685564,"C8orf44"
"360","8",13566869,13568288,"C8orf48"
"361","9",83938311,83956986,"C9orf64"
"362","16",87881546,87936580,"CA5A"
"363","X",15688830,15788411,"CA5B"
"364","2",230712842,230821075,"CAB39"
"365","CHR_HG1815_PATCH",2275748,2294909,"CACNA1C-IT3"
"366","12",2269776,2288937,"CACNA1C-IT3"
"367","19",3607247,3613930,"CACTIN-AS1"
"368","1",159194325,159207973,"CADM3-AS1"
"369","7",122318411,122886759,"CADPS2"
"370","12",53708517,53727745,"CALCOCO1"
"371","17",48831018,48866522,"CALCOCO2"
"372","14",90396502,90408268,"CALM1"
"373","2",47160084,47176921,"CALM2"
"374","19",46601074,46610782,"CALM3"
"375","19",12938578,12944489,"CALR"
"376","19",16479061,16496167,"CALR3"
"377","10",133324072,133336935,"CALY"
"378","17",3860315,3894891,"CAMKK1"
"379","12",121237675,121298308,"CAMKK2"
"380","12",75275979,75390928,"CAPS2"
"381","5",35904288,35938779,"CAPSL"
"382","1",112619805,112671616,"CAPZA1"
"383","7",116811070,116922049,"CAPZA2"
"384","12",18738119,18739188,"CAPZA3"
"385","16",8852942,8869012,"CARHSP1"
"386","13",110641412,110713603,"CARS2"
"387","7",94509219,94557019,"CASD1"
"388","1",160190575,160201886,"CASQ1"
"389","1",115700021,115768714,"CASQ2"
"390","2",218356857,218368099,"CATIP"
"391","18",2652170,2655395,"CBX3P2"
"392","19",15010726,15023276,"CCDC105"
"393","19",55641062,55653161,"CCDC106"
"394","9",35658290,35661511,"CCDC107"
"395","6",151494017,151621193,"CCDC170"
"396","9",15553043,16061663,"CCDC171"
"397","10",116324448,116380029,"CCDC172"
"398","3",14651762,14672659,"CCDC174"
"399","14",59504539,59576812,"CCDC175"
"400","14",69569799,69574871,"CCDC177"
"401","18",32937402,33441101,"CCDC178"
"402","11",22846922,22860474,"CCDC179"
"403","9",97307304,97378751,"CCDC180"
"404","1",169394870,169460669,"CCDC181"
"405","17",57744495,57745299,"CCDC182"
"406","9",136796338,136807741,"CCDC183"
"407","12",48183644,48185926,"CCDC184"
"408","1",223393415,223395465,"CCDC185"
"409","13",51861969,51866232,"CCDC70"
"410","3",49162535,49166331,"CCDC71"
"411","12",389273,442642,"CCDC77"
"412","16",722582,726954,"CCDC78"
"413","11",6259806,6272127,"CCKBR"
"414","17",34285742,34288334,"CCL11"
"415","17",34356480,34358610,"CCL13"
"416","CHR_HSCHR17_7_CTG4",35983323,35987036,"CCL14"
"417","17",35983288,35987004,"CCL14"
"418","CHR_HSCHR17_7_CTG4",35996472,36002080,"CCL15"
"419","17",35996440,36001553,"CCL15"
"420","16",57404767,57416063,"CCL17"
"421","CHR_HSCHR17_10_CTG4",36064280,36072032,"CCL18"
"422","CHR_HSCHR17_7_CTG4",36064636,36072388,"CCL18"
"423","17",36064272,36072032,"CCL18"
"424","9",34689570,34691276,"CCL19"
"425","CHR_HSCHR17_10_CTG4",36210948,36212918,"CCL4L2"
"426","CHR_HSCHR17_10_CTG4",36312669,36314484,"CCL4L2"
"427","CHR_HSCHR17_7_CTG4",36211296,36213250,"CCL4L2"
"428","17",36210924,36212878,"CCL4L2"
"429","13",36431520,36442870,"CCNA1"
"430","4",121816444,121823883,"CCNA2"
"431","5",132747426,132754403,"CCNI2"
"432","16",19523811,19553408,"CCP110"
"433","6",106969831,106975627,"CD24"
"434","12",6444955,6451718,"CD27"
"435","2",203706475,203738912,"CD28"
"436","1",116514534,116571039,"CD58"
"437","13",49247925,49293485,"CDADC1"
"438","19",531760,542092,"CDC34"
"439","19",10391133,10420121,"CDC37"
"440","9",4679559,4708399,"CDC37L1"
"441","22",37560480,37569405,"CDC42EP1"
"442","11",65314866,65322417,"CDC42EP2"
"443","2",37641882,37738468,"CDC42EP3"
"444","17",73283624,73312005,"CDC42EP4"
"445","CHR_HSCHR19LRC_PGF1_CTG3_1",54395351,54403578,"CDC42EP5"
"446","CHR_HSCHR19LRC_COX1_CTG3_1",54397172,54405337,"CDC42EP5"
"447","CHR_HSCHR19_4_CTG3_1",54472957,54481158,"CDC42EP5"
"448","19",54465026,54473296,"CDC42EP5"
"449","8",25459199,25507911,"CDCA2"
"450","12",6844793,6851292,"CDCA3"
"451","14",105009573,105021083,"CDCA4"
"452","11",65066300,65084164,"CDCA5"
"453","2",173354820,173368997,"CDCA7"
"454","18",61333430,61555779,"CDH20"
"455","20",46173739,46308498,"CDH22"
"456","10",71396920,71815947,"CDH23"
"457","14",23047062,23057538,"CDH24"
"458","20",59958423,60034011,"CDH26"
"459","CHR_HSCHR16_3_CTG1",4512634,4526261,"CDIP1"
"460","16",4510669,4538828,"CDIP1"
"461","16",29858357,29863414,"CDIPT"
"462","10",60778331,60794852,"CDK1"
"463","9",87966441,87974753,"CDK20"
"464","12",123250112,123272334,"CDK2AP1"
"465","11",67506497,67508649,"CDK2AP2"
"466","CHR_HSCHR5_2_CTG1_1",69234793,69277413,"CDK7"
"467","5",69234795,69277430,"CDK7"
"468","4",183444635,183449064,"CDKN2AIP"
"469","22",46244011,46250311,"CDPF1"
"470","17",20579724,20580911,"CDRT15L2"
"471","17",15436015,15475728,"CDRT4"
"472","17",15030975,15031957,"CDRT7"
"473","17",15105237,15106187,"CDRT8"
"474","Y",25622117,25624902,"CDY1"
"475","6",4706159,4955551,"CDYL"
"476","9",133061981,133071861,"CEL"
"477","15",80779343,80951776,"CEMIP"
"478","11",787115,790113,"CEND1"
"479","4",118467590,118554100,"CEP170P1"
"480","10",93496612,93529092,"CEP55"
"481","9",14719724,14722733,"CER1"
"482","2",168771951,168786961,"CERS6-AS1"
"483","16",55728115,55750111,"CES1P2"
"484","CHR_HSCHR6_MHC_SSTO_CTG1",31938304,31944738,"CFB"
"485","CHR_HSCHR6_MHC_DBB_CTG1",31927837,31934271,"CFB"
"486","CHR_HSCHR6_MHC_MCF_CTG1",32022093,32028527,"CFB"
"487","CHR_HSCHR6_MHC_MANN_CTG1",31985034,31990148,"CFB"
"488","CHR_HSCHR6_MHC_QBL_CTG1",31936032,31942466,"CFB"
"489","CHR_HSCHR6_MHC_COX_CTG1",31933196,31939630,"CFB"
"490","6",31945650,31952086,"CFB"
"491","CHR_HSCHR19_5_CTG2",859680,863666,"CFD"
"492","19",859453,867884,"CFD"
"493","16",75293698,75433503,"CFDP1"
"494","1",196651754,196752476,"CFH"
"495","4",109731008,109802150,"CFI"
"496","2",201116154,201176687,"CFLAR"
"497","X",47623172,47630305,"CFP"
"498","3",88051944,88149885,"CGGBP1"
"499","10",73782047,73783652,"CHCHD1"
"500","CHR_HSCHR22_1_CTG7",23765834,23768443,"CHCHD10"
"501","22",23765834,23767972,"CHCHD10"
"502","7",56101573,56106476,"CHCHD2"
"503","7",132784870,133082090,"CHCHD3"
"504","3",14112077,14124870,"CHCHD4"
"505","2",112584240,112589275,"CHCHD5"
"506","3",126704240,126960420,"CHCHD6"
"507","8",56211686,56218809,"CHCHD7"
"508","19",16517894,16542437,"CHERP"
"509","1",111280060,111286043,"CHIAP2"
"510","X",73563197,73687111,"CHIC1"
"511","4",54009789,54064605,"CHIC2"
"512","1",203212827,203273641,"CHIT1"
"513","11",68052859,68121444,"CHKA"
"514","22",50578959,50601455,"CHKB"
"515","18",11851413,11854444,"CHMP1B"
"516","2",86503430,86563479,"CHMP3"
"517","CHR_HG1_PATCH",24209582,24213868,"CHMP4A"
"518","14",24209615,24213830,"CHMP4A"
"519","20",33811348,33854366,"CHMP4B"
"520","8",81732448,81759515,"CHMP4C"
"521","9",33264879,33282070,"CHMP5"
"522","17",80991598,81009517,"CHMP6"
"523","8",23243637,23262000,"CHMP7"
"524","15",41230839,41281887,"CHP1"
"525","2",219538954,219543809,"CHPF"
"526","2",174747592,174787935,"CHRNA1"
"527","8",27459756,27479883,"CHRNA2"
"528","15",78593052,78621295,"CHRNA3"
"529","20",63343223,63378401,"CHRNA4"
"530","15",78565520,78595269,"CHRNA5"
"531","8",42752620,42796392,"CHRNA6"
"532","CHR_HSCHR15_4_CTG8",32181324,32319966,"CHRNA7"
"533","CHR_HSCHR15_6_CTG8",30371954,30510022,"CHRNA7"
"534","15",31923438,32173018,"CHRNA7"
"535","4",40335333,40355217,"CHRNA9"
"536","11",45647689,45665622,"CHST1"
"537","2",100391860,100417668,"CHST10"
"538","3",126524155,126543291,"CHST13"
"539","15",40470984,40473158,"CHST14"
"540","10",124007668,124093598,"CHST15"
"541","3",143119771,143124014,"CHST2"
"542","10",71964395,72013558,"CHST3"
"543","16",71525233,71538748,"CHST4"
"544","16",75528530,75536108,"CHST5"
"545","16",75472052,75495445,"CHST6"
"546","X",46573765,46598496,"CHST7"
"547","19",33621953,33773509,"CHST8"
"548","18",26906481,27185308,"CHST9"
"549","15",101175727,101252048,"CHSY1"
"550","5",129904465,130186634,"CHSY3"
"551","3",50606489,50611774,"CISH"
"552","X",72301638,72307187,"CITED1"
"553","6",139371807,139374648,"CITED2"
"554","1",40861054,40862363,"CITED4"
"555","15",43692886,43699222,"CKMT1A"
"556","15",43593054,43604901,"CKMT1B"
"557","5",81233320,81266398,"CKMT2"
"558","1",154974653,154979251,"CKS1B"
"559","13",95479444,95533910,"CLDN10-AS1"
"560","3",98497912,98523066,"CLDND1"
"561","16",69950705,69964452,"CLEC18A"
"562","16",74408631,74421478,"CLEC18B"
"563","16",70173322,70187361,"CLEC18C"
"564","12",9985642,10013424,"CLEC1B"
"565","12",10030678,10066031,"CLEC9A"
"566","5",157785743,157859145,"CLINT1"
"567","14",95181940,95319908,"CLMN"
"568","11",123069872,123195248,"CLMP"
"569","1",35720218,35769978,"CLSPN"
"570","17",2689386,2712663,"CLUH"
"571","18",596988,650334,"CLUL1"
"572","13",99606669,99909459,"CLYBL"
"573","13",99726245,99728971,"CLYBL-AS1"
"574","13",99690081,99690971,"CLYBL-AS2"
"575","3",129167827,129183922,"CNBP"
"576","16",57882340,57971128,"CNGB1"
"577","8",86553977,86743675,"CNGB3"
"578","4",77713387,77819615,"CNOT6L"
"579","6",88139864,88166347,"CNR1"
"580","1",23870515,23913362,"CNR2"
"581","2",68284171,68320051,"CNRIP1"
"582","17",42798800,42811587,"CNTD1"
"583","9",17134982,17503923,"CNTLN"
"584","2",164653624,164843679,"COBLL1"
"585","8",120059780,120373573,"COL14A1"
"586","10",104031286,104085880,"COL17A1"
"587","21",45419716,45425070,"COL18A1-AS1"
"588","21",45407386,45410065,"COL18A1-AS2"
"589","17",50184101,50201632,"COL1A1"
"590","7",94394895,94431227,"COL1A2"
"591","9",114155537,114312511,"COL27A1"
"592","21",45981770,46005050,"COL6A1"
"593","21",46098112,46132848,"COL6A2"
"594","3",130345516,130484846,"COL6A5"
"595","3",130517177,130677044,"COL6A6"
"596","1",40300489,40317813,"COL9A2"
"597","20",62816244,62841159,"COL9A3"
"598","19",18782773,18791305,"COMP"
"599","22",19941371,19969975,"COMT"
"600","15",49106068,49155661,"COPS2"
"601","17",17246616,17281273,"COPS3"
"602","4",83034447,83075818,"COPS4"
"603","8",67043079,67083783,"COPS5"
"604","7",100088969,100092187,"COPS6"
"605","2",237085882,237100474,"COPS8"
"606","9",128322544,128334072,"COQ4"
"607","12",120503279,120534434,"COQ5"
"608","15",74919791,74938083,"COX5A"
"609","16",31427731,31428360,"COX6A2"
"610","8",99873200,99893707,"COX6C"
"611","2",42333546,42425088,"COX7A2L"
"612","4",46734827,46909245,"COX7B2"
